         896531 function calls (893820 primitive calls) in 628.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33000  617.013    0.019  617.013    0.019 {built-in method time.sleep}
    36/18    3.935    0.109    0.793    0.044 {method 'read' of '_io.BufferedReader' objects}
    33000    1.217    0.000    1.217    0.000 {built-in method psutil_windows.proc_times}
      600    0.756    0.001  624.311    1.041 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\memory_profiler.py:269(memory_usage)
    33000    0.753    0.000    6.453    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\memory_profiler.py:117(_get_memory)
    33000    0.702    0.000    0.702    0.000 {built-in method psutil_windows.proc_memory_info}
    33000    0.602    0.000    5.612    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\memory_profiler.py:132(ps_util_tool)
    33000    0.556    0.000    2.880    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\__init__.py:321(_init)
    33000    0.533    0.000    1.910    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_common.py:498(wrapper)
    66000    0.388    0.000    2.900    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_pswindows.py:723(wrapper)
    33000    0.330    0.000    0.330    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:122(RLock)
    33000    0.291    0.000    1.205    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_pswindows.py:880(memory_info)
       18    0.271    0.015    0.271    0.015 {built-in method _winapi.CreateProcess}
    33000    0.218    0.000    1.823    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\__init__.py:372(_get_ident)
    33000    0.128    0.000    0.128    0.000 {built-in method psutil_windows.check_pid_range}
    33000    0.101    0.000    2.982    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\__init__.py:318(__init__)
    33000    0.090    0.000    1.307    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_pswindows.py:983(create_time)
    33000    0.088    0.000    0.088    0.000 {built-in method nt.getpid}
    33144    0.082    0.000    0.082    0.000 {built-in method builtins.hasattr}
    33000    0.078    0.000    0.155    0.000 <string>:1(<lambda>)
    33090    0.077    0.000    0.077    0.000 {built-in method __new__ of type object at 0x00007FFF534528A0}
    34931    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
    33000    0.067    0.000    1.377    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\__init__.py:1119(memory_info)
    33000    0.057    0.000    0.759    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_pswindows.py:857(_get_raw_meminfo)
       18    0.040    0.002    0.040    0.002 {built-in method _winapi.WaitForSingleObject}
    33090    0.036    0.000    0.036    0.000 {built-in method builtins.getattr}
       58    0.035    0.001    0.035    0.001 {built-in method _io.open}
    66000    0.031    0.000    0.031    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\__init__.py:471(pid)
      288    0.029    0.000    0.029    0.000 {built-in method nt._path_exists}
    33000    0.028    0.000    0.028    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\psutil\_pswindows.py:766(__init__)
      600    0.017    0.000    0.020    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\memory_profiler.py:1201(choose_backend)
       42    0.012    0.000    0.012    0.000 {built-in method builtins.print}
       18    0.012    0.001  624.338   34.685 C:\Users\brike\Desktop\Algoritma\src\benchmark.py:18(profile_operation)
    36/18    0.011    0.000    3.957    0.220 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1025(_bootstrap_inner)
       22    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
 2185/455    0.007    0.000    4.374    0.010 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\_tools.py:151(wrapper)
       36    0.005    0.000    0.005    0.000 {built-in method nt.mkdir}
      838    0.004    0.000    0.010    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\quoting.py:40(quote)
       18    0.004    0.000    0.004    0.000 {built-in method nt.remove}
       36    0.004    0.000    0.004    0.000 {built-in method nt._path_isdir}
     3600    0.003    0.000    0.003    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\memory_profiler.py:1215(<genexpr>)
     1676    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
       36    0.003    0.000    0.003    0.000 {built-in method _thread.start_joinable_thread}
     1885    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3984    0.003    0.000    0.003    0.000 {built-in method builtins.len}
   208/50    0.002    0.000    0.004    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:14(insert)
      270    0.002    0.000    0.003    0.000 <frozen ntpath>:99(join)
      600    0.002    0.000    0.002    0.000 {built-in method builtins.round}
       36    0.002    0.000    4.086    0.114 {method 'join' of '_thread._ThreadHandle' objects}
      126    0.002    0.000    0.002    0.000 {built-in method _winapi.CloseHandle}
       36    0.002    0.000    0.002    0.000 {built-in method _winapi.CreatePipe}
  180/144    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
       18    0.002    0.000    0.029    0.002 C:\Users\brike\Desktop\Algoritma\src\visualize_tree.py:61(get_unique_filename)
    243/9    0.002    0.000    0.015    0.002 C:\Users\brike\Desktop\Algoritma\src\visualize_tree.py:28(add_edges_from_array)
      404    0.002    0.000    0.008    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\quoting.py:93(quote_edge)
      202    0.002    0.000    0.012    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:206(edge)
      217    0.001    0.000    0.012    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\dot.py:184(node)
   165/50    0.001    0.000    0.002    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:43(delete)
       18    0.001    0.000    0.035    0.002 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\saving.py:53(save)
       50    0.001    0.000    0.003    0.000 C:\Users\brike\Desktop\Algoritma\src\array_avl_tree.py:59(insert)
      450    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       18    0.001    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:582(list2cmdline)
